visitId,visitNumber,date,visits,hits,pageviews,timeOnSite,bounces,transactions,transactionRevenue,newVisits,screenviews,uniqueScreenviews,timeOnScreen,totalTransactionRevenue,isMobile,hitNumber,time,hour,minute,transactionRevenue_1,productName,productCategory,userId,clientId,TimeSpeantEachPage
1470035429,2,20160801,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0
1470035892,1,20160801,1,8,6.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6,67254,0,19,0.0,0.0,0.0,0.0,0.0,6874.0
1470038799,1,20160801,1,10,9.0,135.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6,82925,1,8,0.0,0.0,0.0,0.0,0.0,19058.0
1470039214,5,20160801,1,8,5.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,37571,1,14,0.0,0.0,0.0,0.0,0.0,21945.0
1470040837,2,40321602,2,36,28.0,1132.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,26,773113,2,94,0.0,0.0,0.0,0.0,0.0,584036.0
1470041040,1,20160801,1,10,10.0,1494.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9,1474016,2,8,0.0,0.0,0.0,0.0,0.0,19520.0
1470041240,12,241929612,12,552,372.0,13452.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0,293,4600088,12,640,0.0,0.0,0.0,0.0,0.0,664076.0
1470041543,6,20160801,1,6,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,22567,1,52,0.0,0.0,0.0,0.0,0.0,22567.0
1470043635,3,60482403,3,69,45.0,819.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,40,364146,6,86,0.0,0.0,0.0,0.0,0.0,44307.0
1470044455,1,20160801,1,3,3.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,56137,2,41,0.0,0.0,0.0,0.0,0.0,56137.0
1470045423,12,20160801,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,57,0.0,0.0,0.0,0.0,0.0,0.0
1470046365,10,100804005,5,270,195.0,9625.0,0.0,5.0,7947000000.0,0.0,0.0,0.0,0.0,7962000000.0,0,119,1193050,15,81,0.0,0.0,0.0,0.0,0.0,84374.0
1470050783,5,100804005,5,190,155.0,12290.0,0.0,5.0,44950000.0,5.0,0.0,0.0,0.0,64950000.0,0,73,3631183,21,130,0.0,0.0,0.0,0.0,0.0,434001.0
1470052145,3,20160801,1,3,3.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,105072,4,50,0.0,0.0,0.0,0.0,0.0,105072.0
1470052998,32,161286408,8,272,224.0,5416.0,0.0,8.0,217520000.0,0.0,0.0,0.0,0.0,257520000.0,0,141,2766994,40,68,0.0,0.0,0.0,0.0,0.0,52812.0
1470053049,4,80643204,4,100,72.0,1124.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,71,854643,20,30,0.0,0.0,0.0,0.0,0.0,40031.0
1470054005,1,20160801,1,3,3.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,29706,5,20,0.0,0.0,0.0,0.0,0.0,9877.0
1470055898,14,40321602,2,36,28.0,910.0,0.0,2.0,143400000.0,0.0,0.0,0.0,0.0,145400000.0,0,17,158947,10,105,0.0,0.0,0.0,0.0,0.0,28111.0
1470056674,1,20160801,1,34,20.0,219.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,20,174054,6,7,0.0,0.0,0.0,0.0,0.0,10795.0
1470056945,4,80643204,4,124,84.0,992.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,76,464367,24,43,0.0,0.0,0.0,0.0,0.0,271157.0
1470057237,10,100804005,5,160,120.0,1475.0,0.0,5.0,837000000.0,0.0,0.0,0.0,0.0,852000000.0,0,91,421504,30,74,0.0,0.0,0.0,0.0,0.0,77189.0
1470058477,5,100804005,5,65,50.0,595.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,53,529044,30,179,0.0,0.0,0.0,0.0,0.0,41120.0
1470058977,1,20160801,1,14,9.0,185.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,12,172655,6,45,0.0,0.0,0.0,0.0,0.0,8020.0
1470059322,2,20160801,1,12,11.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,55650,6,49,0.0,0.0,0.0,0.0,0.0,10413.0
1470060696,4,80643204,4,200,120.0,1088.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,164,890749,28,59,0.0,0.0,0.0,0.0,0.0,286295.0
1470061018,8,80643204,4,124,116.0,3792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73,1750402,28,95,0.0,0.0,0.0,0.0,0.0,1039117.0
